	id	sentence1	sentence2	avg
35	Oscar2_674	Els abstracts d'aquests estudis són traduïts al català, gallec, euskera, francès i anglès.	Els seus llibres han estat traduïts al castellà, italià, xinès, anglès, francès, gallec, coreà, euskera i braille.	2.5
36	Viqui2_618	Del gener de 2011 a octubre de 2017 va ser delegat territorial del Govern de la Generalitat de Catalunya a les Terres de l'Ebre.	El juliol del 2018 fou nomenat delegat del Govern de la Generalitat de Catalunya a Barcelona.	2.0
37	Viqui2_749	Els dos laterals consten d'una finestra rectangular partida en tres per pilastres de maons i una altra amb arc rebaixat.	Els baixos consten d'una porta d'arc rebaixat i d'una finestra quadrada a cada banda.	1.75
38	Oscar2_557	La plaça del Poble d'Andorra la Vella torna a omplir-se en un Sant Jordi marcat per la producció d'escriptors del Principat	Previous Post: La plaça del Poble torna a omplir-se en un Sant Jordi marcat per la producció d'escriptors del Principat	3.5
39	ACN2_372	Cinc ferits lleus per inhalació de fum a L'Hospitalet de Llobregat	Tres ferits lleus per inhalació de fum en l'incendi d'un pis a l'Hospitalet de Llobregat	3.0
40	Viqui2_882	Al costat de la porta hi ha el número 21, però també es conserva un antic número damunt una carreu de l'arc de la porta.	A la número 17 el portal també és rectangular i té un sobrearc al damunt.	1.75
41	Viqui2_422	Datat per primera vegada el 1895.	Atorgat per primera vegada el 1882.	1.75
42	Viqui2_789	És a ponent del Tossal de Sant Martí.	Té més a ponent del Tossal de Sant Martí i al sud-est el Tossal de Montserè.	2.25
43	Viqui2_208	"En moltes classificacions els ""Crambidae"" han estat tractats com una subfamília dels Pyralidae."	En moltes classificacions els cràmbids han estat tractats com una subfamília dels Pyralidae.	5.0
44	Viqui2_546	Té una alçària de 3.491 metres.	Té una alçada d'uns 2.341 metres.	3.0
45	Oscar2_661	Una vida de pel·lícula que recorda la màxima: La realitat supera la ficció.	La realitat, com sempre, supera la ficció.	2.75
46	ACN2_1058	Iceta prefereix no iniciar el debat sobre el candidat del PSC fins que es convoquin formalment les eleccions espanyoles	El PDeCAT proposa iniciar un procés de primàries per escollir el candidat de cara a les eleccions	1.5
47	ACN2_532	La fiscalia arxiva la investigació per presumpta falsedat documental d’ATLL	La Fiscalia arxiva la investigació contra De Alfonso per malversació	2.25
48	ACN2_590	L'edil va fer les declaracions durant el debat d'una moció de suport a la resolució rupturista del Parlament	L'acusació va sorgir arran de la moció de suport a la declaració independentista del Parlament	2.0
49	ACN2_135	La Junta Electoral desestima la denúncia del PP contra l'editorial de Mònica Terribas a 'El matí de Catalunya Ràdio'	El PP denuncia 'El matí de Catalunya Ràdio' a la Junta Electoral	2.0
50	ACN2_394	La part denunciant només hi veu un possible delicte de furt	La Fiscalia només veu un sol delicte de sedició	2.0
51	ACN2_838	El PSOE avisa Puigdemont i l'independentisme que presentar-se el 21-D és acatar el 155 i la Constitució	Albiol aposta per mantenir el 155 després del 21-D si hi ha govern independentista que vulneri la Constitució	1.5
52	Viqui2_28	També s'ha especulat amb altres possibles explicacions.	Però també hi ha altres explicacions possibles.	3.67
53	Oscar2_205	L'edifici té dues plantes, i a la planta baixa també hi ha salons, una terrassa interior i una altra d'exterior.	També hi ha una terrassa en aquesta planta.	2.0
54	Viqui2_355	Se n'han trobat fòssils a la conca del Karoo (Sud-àfrica), que daten del Triàsic mitjà.	Se n'han trobat fòssils a Mongòlia que daten del Cretaci inferior.	3.0
55	Oscar2_465	Les infraccions comptables molt greus se sancionen amb la imposició d'una multa d'un import d'entre 2.001 € i 6.000 €.	Les infraccions comptables greus se sancionen amb la imposició d'una multa d'un import d'entre 601 € i 2.000 €.	3.0
56	ACN2_660	Uns 150 jubilats d'Endesa es manifesten a la Pobla de Segur per denunciar les retallades que la companyia vol aplicar	Els jubilats d'Endesa es manifestaran a Lleida per denunciar les retallades que els vol aplicar la companyia	3.0
57	ACN2_947	El Cirque du Soleil no actuarà enguany	Cirque du Soleil estrenarà l'espectacle 'Luzia' a Barcelona el 21 de gener del 2021	1.0
58	Viqui2_454	Va estar actiu sobretot a París, on es va establir en 1844.	Va tornar a París el 1840 on va morir el 1843.	1.75
59	Viqui2_167	Diego es va casar amb Ana de la Cerda i Castro, néta del quart duc de Medinaceli.	Filla gran del duc de Medinaceli Juan Francisco de la Cerda i de la duquessa de Sogorb Caterina d'Aragó-Cardona-Córdoba.	1.5
60	Oscar2_578	Havia nascut en 1910 al Pla de Cabra (Alt Camp, Catalunya).	Havia nascut cap el 1902 a Tarragona (Tarragonès, Catalunya).	3.0
61	Viqui2_408	Durant la dictadura d'Idi Amin Dada van patir el genocidi pel seu suport a Milton Obote, rival d'Amin.	Després es va unir al president Yoweri Museveni en la lluita contra el derrocat Milton Obote.	1.25
62	TE2_82	Els que canten i els que la fan ballar.	Els artistes canten, ballen i fan pràcticament de tot.	1.75
63	Oscar2_136	Imposen drets i deures individuals o col·lectius.	Reconeixement dels drets individuals i col·lectius.	1.5
64	Viqui2_52	La Unió Internacional per a la Conservació de la Natura (IUCN) classifica la tortuga carei en perill crític.	La Unió Internacional per a la Conservació de la Natura (UICN) el classifica com a espècie en perill.	3.0
65	ACN2_578	Mor el conductor d'un turisme després de sortir de la via a l'A-2 a Pallejà	Mor el conductor d'un cotxe en sortir de la via a l'A-2 a Castellolí	3.0
66	Oscar2_210	Moltes gràcies per la tasca que feu cada dia!	Moltíssimes gràcies per tot el què feu!!	3.5
67	ACN2_451	El Parlament reitera els objectius polítics de la resolució del 9-N i insta el Govern a recuperar les suspensions del TC	El govern espanyol impugnarà al TC la moció del Parlament que ratifica els objectius polítics del 9-N	2.0
68	Oscar2_697	El termini per a la presentació de sol·licituds és de 5 dies naturals.	El termini màxim de reserva és de 3 dies naturals.	2.0
69	ACN2_915	La vaga de controladors aeris de Marsella obliga Vueling a cancel·lar vols també aquest dilluns	La vaga de controladors aeris francesos obliga a cancel·lar almenys una desena vols de l'Aeroport de Barcelona	3.0
71	ACN2_1157	L'home va intentar amagar-se un portal d'un habitatge del Centre Històric	L'home va ser detingut dijous per endur-se una bossa de mà d'un bar del Centre Històric de la ciutat	1.5
72	Viqui2_845	"Al cim podem trobar-hi un vèrtex geodèsic (""referència 291120001"")."	"Al cim podem trobar-hi un vèrtex geodèsic (""referència 264101001"")."	4.0
73	ACN2_464	Les matriculacions de turismes a Catalunya augmenten un 22,6% al setembre	Les matriculacions de turismes baixen un 7,2% al febrer a Catalunya en comparació amb 2019	1.25
74	Viqui2_356	El Pic de Subenuix de 2.950,2 m, sostre de la serra, constitueix el seu extrem meridional.	El Comaloforno (3.029,2 m), punt d'intersecció amb el Massís del Besiberri i sostre del massís, és l'extrem nord-occidental de la cresta.	2.0
75	Oscar2_647	Amb Espanya no hi ha res a fer.	No hi ha res a fer amb Espanya!	5.0
77	ACN2_598	Els Bombers demanen que aquest cap de setmana llarg s'extremin les mesures de precaució en la pràctica d'activitats al medi natural	Els Bombers demanen extremar la precaució en les activitats de muntanya durant els ponts de la setmana que ve	3.5
78	Oscar2_408	Per tant, ens podríem oblidar de Viber.	Per això crec que ens cal no oblidar mai.	1.0
79	TE2_219	No sé pas com s'ho feia perquè no la veiés.	No volia dir què li passava perquè pensava que realment no els importava i que no ho entendrien.	0.0
80	ACN2_21	Quinze dotacions dels Bombers treballen per sufocar les flames	Tretze dotacions dels Bombers treballen per sufocar les flames	3.0
81	ACN2_390	El Parlament recorda el llegat de Carme Chacón en la presentació de la seva fundació contra les cardiopaties congènites	Neix la fundació Carme Chacón per lluitar contra les cardiopaties congènites	2.25
82	Oscar2_253	Cliqueu per llegir l'article en línia.	Fes click a la portada de la revista i a llegir l'article.	2.75
83	ACN2_552	Les afiliacions a la Seguretat Social a Catalunya cauen un 4,1% en plena crisi pel coronavirus	L'afiliació estrangera a la Seguretat Social a Catalunya cau un 2,61% al març per l'efecte del coronavirus	2.75
84	ACN2_34	L'arqueta del segle XV que contenia la relíquia de la Santa Sandàlia de la Mare de Déu ja s'exhibeix al Museu de Lleida	El Museu de Lleida exposarà l'arqueta del segle XV que havia embolcallat la relíquia de la Santa Sandàlia	3.25
85	ACN2_975	Per sota del 40% també hi ha Galícia, amb el 36,9%; Balears, amb el 38,1%, i Andalusia, amb el 38,9.	Per sota de les comunitats que superen el 10% se situen Andalusia, amb un 9,6%; Castella i Lleó i Extremadura, ambdues amb un 9,4, i Navarra amb un 9%.	1.5
86	Oscar2_357	La selecció catalana, que lluitarà per la cinquena plaça, ha guanyat amb comoditat el combinat africà.	La selecció catalana, que lluitarà per la cinquena plaça del Mundial sub-23, ha guanyat amb comoditat el combinat africà.	3.5
87	Viqui2_105	A primers del va ser un important centre comercial de pells.	A primers del segle XIX fou un centre de comerç marítim de pells.	2.75
89	ACN2_183	Assegura que l’antiga CDC s’ha transformat en un partit “antisistema” que ha provat de “muntar una República de cartró pedra”	Assegura que l’antiga CDC s’ha transformat en un partit “antisistema”	3.0
90	Oscar2_687	Els seus murs són de carreus ben escairats amb tres motllures a diversos nivells.	Els seus murs són de maçoneria amb carreus a les cantoneres.	2.5
91	ACN2_247	La Mesa del Congrés ajorna la decisió sobre el grup propi del Partit Demòcrata Català	El portaveu del Partit Demòcrata Català defensa la denominació del grup	1.5
92	ACN2_1104	L'ICO ha finançat més de 318.000 operacions de crèdit per un import de 31.400 MEUR	L'ICO ha registrat 109.571 operacions de crèdit a Catalunya amb un import avalat de 10.057 MEUR	2.5
93	TE2_67	Els Mossos d'Esquadra han rebut l'avís del sinistre a les 11.06 hores.	Els Mossos d'Esquadra han rebut l'avís a les 09.19.	2.75
94	ACN2_868	Pel que fa a l'ocupació, el sector que dona més feina a Catalunya és el dels serveis, amb un 73,2%, seguit de la indústria (18,8%), la construcció (6,4%) i l'agricultura (1,6%).	El nombre d'ocupats va créixer especialment en el sector de la construcció (7%), seguit del primari (3,8%), el serveis (2,8%) i la indústria (1,8%).	1.33
95	Oscar2_19	Una prova on és imprescindible un perfecte entrenament físic i mental.	En aquesta prova és imprescindible un perfecte entrenament físic i mental.	4.75
96	ACN2_977	Girona i el Consorci del Ter col·laboren per recuperar la connectivitat del Ter a l'entorn de la resclosa de la Pilastra	Comencen a construir l'escala per a peixos a Girona per millorar la connectivitat entre l'Onyar i el Ter	2.0
97	Viqui2_630	Els frares obliguen Joan a despullar-se davant de tots i a posar-se l'hàbit del monestir, però ell el rebutja.	L'obliguen a comparèixer davant els frares en el tribunal del monestir, però ell rebutja obeir.	2.25
98	ACN2_61	El pla de mobilitat dissenyat davant la incidència ha funcionat tal com Renfe esperava i continuarà operatiu en els propers dies	El pla especial de mobilitat ha funcionat tal com Renfe esperava i continuarà operatiu en els propers dies	4.0
99	ACN2_623	El Ministeri d'Agricultura promou en la creació d'una interprofessional de fruita dolça	Asaja Lleida reclama al Ministeri d'Agricultura campanyes per incentivar el consum de fruita	1.5
100	Oscar2_412	Presentació a l'aeroport de Barcelona, trobada amb el guia d'Eurovacances i sortida del vol a Munic.	Trobada a l'aeroport de Barcelona i sortida del vol a París.	2.5
101	Oscar2_627	A l'estiu també obren als vespres de dimecres a diumenges.	N'hi ha que també obren els dijous a la tarda, excepte a l'estiu, que només obren els matins.	1.75
102	ACN2_226	El detingut, sense antecedents, va passar el 4 de desembre a disposició del jutjat d’instrucció en funcions de guàrdia de Blanes, que en va decretar l'ingrés a presó.	El detingut, va passar el 4 de desembre a disposició del jutjat d’instrucció en funcions de guàrdia de Girona, que en va decretar la llibertat.	1.5
103	ACN2_1183	La creació d'empreses a l'agost cau un 17% en relació amb el mateix mes de l'any passat	La creació d'empreses al maig cau un 8% en relació amb l'any passat	2.75
104	Viqui2_41	La societat victoriana estava exacerbada de moralismes i disciplina, amb rígids prejudicis i severes interdiccions.	La societat a l'època victoriana estava plena de moralismes i disciplina, amb rígids prejudicis i severes interdiccions.	5.0
105	ACN2_36	Els Mossos d'Esquadra denuncien els infractors per la via penal per un delicte contra la seguretat del trànsit	Els Mossos d'Esquadra denunciaran penalment el conductor per un delicte contra la seguretat viària	3.0
106	Oscar2_555	És l'única cerimònia amb 2 directors negres nominats a millor pel·lículaː Lee Daniels i Broderick Johnson	És l'única cerimònia amb 2 candidats australians a millor actorː Russell Crowe (guanyador) i Geoffrey Rush	2.5
107	TE2_146	El jove té 23 anys i és de nacionalitat romanesa.	L'arrestat té 23 anys i és de nacionalitat índia	3.0
108	TE2_154	Gîte de La Ferme des Crins Blancs és un lloc ideal d'estada pels viatgers que busquin encant, comfort i facilitat a Hazebrouck.	Noclegi Julinek és un lloc ideal d'estada pels viatgers que busquin encant, comfort i facilitat a Blonie.	2.75
109	Oscar2_646	El seu cos no funciona de manera eficient després de 15 minuts.	El seu cos no funciona de manera òptima després de 15 minuts.	5.0
110	ACN2_35	Es tractaria de Khalid i Brahim El Bakraoui, fitxats per la policia per delictes de vandalisme i investigats molt recentment per terrorisme	Es tractaria de Khalid i Brahim El Bakraoui, fitxats per la policia per delictes de vandalisme però no per terrorisme	2.75
111	Viqui2_69	Catedral de l'Àrtic, una església moderna construïda el 1965, està situat a la part continental.	La catedral de l'Àrtic, una església moderna del 1965, és probablement el monument més famós.	2.25
112	Oscar2_435	Desfangament estàtic de 24 hores i fermentació en tancs d'acer inoxidable a 16 oC.	Desfangament estàtic de 24 hores i fermentació a temperatura controlada de 16 oC.	3.25
113	ACN2_607	El DOGC publica l'obligatorietat de portar mascareta a l'aire lliure i en espais d'ús públic a partir d'aquest dijous	Coincideixen amb el primer dia de l'obligatorietat de portar mascareta a l'aire lliure i en espais d'ús públic	2.25
114	Oscar2_235	En en següent enllaç podeu consultar el llistat definitiu d'admesos i exclosos del procés selectiu per al nomenament com a funcionari/a interí/na de guàrdies municipals.	En en següent enllaç podeu consultar el llistat provisional d'admesos i exclosos del procés selectiu per al nomenament com a funcionari/a interí/na de guàrdies municipals.	3.0
115	ACN2_1203	L'Audiència Nacional arxiva la causa contra els anarquistes detinguts en l'operació Pandora II	L'Audiència Nacional arxiva provisionalment la causa contra Mario Conde	2.5
116	ACN2_609	Mor ofegat un home de 31 anys a la platja del Port Olivet de l'Ametlla de Mar	Mor ofegat un home de 46 anys a la platja de Lloret de Mar	2.75
117	Oscar2_280	"Quan sigui exigible legalment, les comunicacions i transaccions que faci l'usuari del web es duran a terme mitjançant un sistema de comunicació ""d'entorn segur""."	"Quan sigui exigible legalment, les comunicacions que faci l'usuari del web es faran mitjançant un sistema de comunicació ""entorn segur""."	3.25
118	Viqui2_815	"Pinel e Autariba (en francès ""Pinel-Hauterive"") és un municipi francès, situat al departament d'Òlt i Garona i a la regió de la Nova Aquitània."	"Lobèrs e Bernac (en francès ""Loubès-Bernac"") és un municipi francès, situat al departament d'Òlt i Garona i a la regió de la Nova Aquitània."	3.25
119	TE2_152	Les dues víctimes han estat traslladades a l'Hospital Parc Tauli de Sabadell.	Les dues persones ferides greus han estat traslladades a l'Hospital de Bellvitge i la lleu, a l'Hospital de Martorell.	2.5
120	Oscar2_497	El Casal d'Estiu es realitzarà des del 22 de juny (24 és festiu) fins al 31 de juliol a l'escola Nadal.	El Casal d'Estiu es realitzarà des del 26 de juny fins el 28 de juliol a l'escola Nadal.	3.0
121	ACN2_334	Cs presenta una reprovació de la ministra al Congrés dels Diputats	El PDeCAT demana la compareixença de la ministra Cospedal al Congrés	1.25
122	Viqui2_531	Limitava amb els municipis de Calavino, Cavedine, Dro i Trento.	Limitava amb els municipis de Calavino, Trento i Vezzano.	3.0
123	Viqui2_693	Segons tradició de l'Església, després de l'Assumpció de Maria, Joan va anar a Efes.	Segons la tradició ortodoxa, Maria Magdalena es va retirar a Efes amb la Verge Maria i l'apòstol sant Joan i va morir allí.	2.0
124	ACN2_115	El Barça recorrerà la reobertura del cas contra Neymar, Bartomeu i Rossell pel fitxatge del jugador	El jutge obre judici oral contra Neymar, Bartomeu, Rosell i el Barça pel fitxatge del jugador	2.25
125	Oscar2_587	Convenientment situat a Vilemovice, Penzion u Balcarky és una base ideal des d'on explorar aquesta ciutat fantàstica.	Convenientment situat a Hauteville Lompnes, Villa Poupoune és una base ideal des d'on explorar aquesta ciutat fantàstica.	2.75
126	Viqui2_102	En negar-se a lluitar Nilsson, Richthoff i Dame, Archie MacDonald fou guardonat amb la medalla de bronze.	En negar-se a lluitar Wilson, Westergren, Hutmacker i Mylläri, Charles Courant fou guardonat amb la medalla de bronze.	3.0
127	ACN2_307	El preu mitjà de l'habitatge nou augmenta un 21,2% el 2018 a Catalunya	El preu de l'habitatge nou puja un 9% a Catalunya el 2017	3.0
128	Viqui2_790	El torneig té lloc entre el 15 de juny i 7 de juliol de 2019.	El torneig té lloc entre el 7 i 26 de juliol de 2017.	2.75
129	Oscar2_372	Obtenció d'informació sobre iniciatives emprenedores i oportunitats de creació d'una petita empresa:	Obté informació sobre iniciatives emprenedores i oportunitats de creació d'una petita empresa, valorant l'impacte sobre l'entorn d'actuació i incorporant valors ètics.	3.0
130	Viqui2_549	El 585, el rei visigot Leovigild va annexionar-se l'afeblit regne del seus.	Àkhila I fou rei dels visigots del 549 al 554.	1.75
131	Oscar2_90	La cel·la té finestres d'arcs de mig punt, una a cada costat, la del nord mig tapiada.	La cel·la té dos finestrals d'arc de mig punt a cada costat.	3.0
132	ACN2_1174	Torra es reuneix amb Otegi a Sant Sebastià per abordar la situació política	Rajoy i Sánchez es reuniran dimarts a la Moncloa per abordar la situació a Catalunya l'endemà de la investidura de Torra	1.33
133	TE2_193	Va ser la segona filla de l'Emperador Go-Mizunoo.	Va ser la segona dona nominada a la Cort Suprema	0.33
134	ACN2_592	El president del Parlament afirma que és la Mesa qui decideix com s'interpreta el reglament	El president del PPC assegura que serà la Mesa del Parlament qui convocarà la consulta	1.75
135	Viqui2_856	És diputada de Lefkoşa o Nicosia del Nord.	Çolak ha estat membre del Consell Municipal (diputada local) de Lefkoşa o Nicosia del Nord entre 1994 i 2002.	2.75
136	ACN2_949	Resta a disposició de l'Audiència Nacional perquè en determini la seva extradició	El detingut va ser posat a la disposició de l'Audiència Nacional, que és l'òrgan competent per ordenar la seva extradició.	5.0
137	ACN2_549	Escullen el jurat i arrenca el judici contra l'acusat d'assassinar el fillol d'un capellà al seu pis de Blanes	Escullen el jurat i comença el judici contra l'acusat de matar el seu germà d'una ganivetada al coll a Figueres	2.5
138	Oscar2_266	Turquia és un estat transcontinental d'Euràsia.	Turquia és europea i és oriental.	2.0
139	TE2_81	La capacitat de la sala és per a 300 persones i l'accés és per invitació.	La sala d'actes té capacitat per a 320 persones.	2.75
140	ACN2_371	L'ANC convoca la taula de partits i entitats per debatre l'estratègia conjunta per al 21-D	La formació reclama que es reuneixi una mesa de partits i entitats sobiranistes per debatre una estratègia conjunta	2.5
141	TE2_113	Es troben assentades a l'extrem Nord-est del riu Girona.	Es troba al sud-oest de Galícia, a la desembocadura del riu Miño.	1.75
142	Oscar2_546	La veritat és que ho veig difícil.	La veritat és que no ho tinc clar.	2.0
143	Viqui2_719	"La va anomenar ""Buried Alive"" i va ser una pel·lícula per a la televisió per cable nord-americà."	"La pel·lícula es va estrenar en la televisió per cable: ""All the Rage""."	2.5
144	ACN2_941	Una cinquantena de persones guarda un minut de silenci en record a la dona morta de forma violenta a Masquefa	300 persones guarden un minut de silenci a Caldes de Malavella en record a la nena morta per l'accident a l'inflable	2.25
145	Oscar2_320	S'acumula en un cordó gruixut a la base del cartró vertical i el cartró s'enganxa al cavallet.	Col·loquem la tira de cartró folrada formant la nansa del cistell.	1.0
146	ACN2_26	Exteriors convoca el concurs públic pels llocs de delegat del Govern a França i als Estats Units	Exteriors convoca per concurs públic les places de delegat a França i els Estats Units	4.25
147	Oscar2_26	Aquest mes, només el 31 i 31, també tenim la sort de comptar amb Manuel Tane, un autèntic cantaor gitano de Jerez de la Frontera.	Aquest mes també tenim la sort de comptar amb Manuel Tane, un autèntic cantaor gitano de Jerez de la Frontera.	3.0
148	Oscar2_600	El seu objectiu és fomentar l'art i la cultura mitjançant activitats que integrin tots els públics.	El seu objectiu és generar multiplicitat de visions i fomentar els debats crítics sobre l'art i la cultura mitjançant activitats que integrin tots els públics.	2.75
149	ACN2_1019	Acaba la primera jornada de vaga al metro amb descensos de demanda de fins al 32%	Acaba la tercera jornada de vaga al Metro de Barcelona amb descensos de validació del 24%	2.75
150	ACN2_1149	El Govern destina gairebé 1 MEUR per la formació en el sector aeronàutic	El Govern destina gairebé 6 MEUR a promoure l'autoocupació juvenil	2.67
151	Viqui2_579	Un ús similar tindria el programa F.lux per a Windows, Mac i Linux.	Un altre programa que utilitza el motor ClamAV en Mac OS és Counteragent.	1.5
152	Viqui2_244	L'autenticitat de les dues obres és negada per H.E. Wethey, però és acceptada per August L. Mayer i per J. Camón Aznar.	L'autenticitat d'aquesta obra és negada per H.E. Wethey, però és acceptada per August L. Mayer i per J. Camón Aznar.	3.5
153	Oscar2_311	3 etapes, 97,5 quilòmetres i 1.000 metres de desnivell acumulat esperen als bikers aficionats.	El desnivell acumulat arriba als 5.920 metres, 1.300 dels quals se superen durant els primers 9 km de cursa.	1.25
154	ACN2_322	Les votacions es faran aquest diumenge entre les deu del matí i les set de la tarda	Les votacions es faran des de les 22 hores d'aquesta nit fins a les 14 hores de dijous	2.75
155	ACN2_261	Dos intoxicats en l'incendi d'un matalàs en un habitatge del Prat de Llobregat	Cinc intoxicats per fum en l'incendi d'un habitatge al Prat de Llobregat	2.75
